,Company,Country,Ticker,Fossil Free Funds: Coal screen,Fossil Free Funds: Oil / gas screen,Fossil Free Funds: Macroclimate30 coal-fired utility screen,Fossil Free Funds: Fossil-fired utility screen,Fossil Free Funds: Fossil fuel finance screen,Fossil Free Funds: Fossil fuel finance risk score,Fossil Free Funds: Fossil fuel insurance screen,Fossil Free Funds: Fossil fuel insurance risk score,Fossil Free Funds: Clean200 screen,Deforestation Free Funds: Producer screen,Deforestation Free Funds: Financier screen,Deforestation Free Funds: Consumer brand screen,Deforestation Free Funds: Palm oil producer screen,Deforestation Free Funds: Palm oil consumer brand screen,Deforestation Free Funds: Paper / pulp producer screen,Deforestation Free Funds: Paper / pulp consumer brand screen,Deforestation Free Funds: Rubber producer screen,Deforestation Free Funds: Rubber consumer brand screen,Deforestation Free Funds: Timber producer screen,Deforestation Free Funds: Timber consumer brand screen,Deforestation Free Funds: Cattle producer screen,Deforestation Free Funds: Cattle consumer brand screen,Deforestation Free Funds: Soy producer screen,Deforestation Free Funds: Soy consumer brand screen,Gender Equality Funds: Has Equileap gender equality score,Gun Free Funds: Gun manufacturers screen,Gun Free Funds: Gun retailers screen,Prison Free Funds: Prison industry screen,Prison Free Funds: Border industry screen,Prison Free Funds: Higher risk screen,Prison Free Funds: Private prison operators screen,Weapons Free Funds: Military contractors screen,Weapons Free Funds: Nuclear weapons screen,Weapons Free Funds: Controversial weapons screen,Tobacco Free Funds: Tobacco producers screen,Tobacco Free Funds: Tobacco-promoting entertainment companies screen,Beta Value,Company_Name,Industry (Exiobase),Total Environmental Cost,Biodiversity,Abiotic Resources,SDG 1.5,SDG 2.1,SDG 2.2,SDG 2.3,SDG 2.4,SDG 3.3,SDG 3.4,SDG 3.9,SDG 6,SDG 12.2,SDG 14.1,SDG 14.2,SDG 14.3,SDG 14.c,SDG 15.1,SDG 15.2,SDG 15.5,Environmental Index
2715,Marriott International Inc,United States,MAR,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.643,MARRIOTT INTL INC, Other service activities (93) ,0.865825928,0.979872022,0.999990878,0.86918227,0.979857908,0.979838712,0.867028312,0.867028312,0.980026827,0.058776444,0.999971276,0.60887458,0.999990878,0.999882958,0.999629412,0.980971099,0.999882592,0.020767175,0.020767175,0.877596759,0.0
2716,Marsh & McLennan Companies Inc,United States,MMC,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.895,MARSH & MCLENNAN COS,"Insurance and pension funding, except compulsory social security (66)",0.879861476,0.995246397,0.999970071,0.884376332,0.995242059,0.995237459,0.881987983,0.881987983,0.995272865,0.0591094,0.999958573,0.608957611,0.999970071,0.999526743,0.999552207,0.995492692,0.9995261,0.021116818,0.021116818,0.892627143,0.19
2717,Marsh & McLennan Companies Inc,United States,MMC,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.895,MARSH & MCLENNAN COS," Insurance and pension funding, except compulsory social security (66) ",0.879781522,0.995161022,0.999970991,0.884289678,0.995156881,0.995152197,0.881902686,0.881902686,0.995188697,0.05909922,0.999959806,0.608957199,0.999970991,0.999542009,0.999567648,0.995412697,0.999541043,0.021103592,0.021103592,0.892541516,0.16
2718,Marsh & McLennan Companies Inc,United States,MMC,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.895,MARSH & MCLENNAN COS," Insurance and pension funding, except compulsory social security (66) ",0.879757978,0.995142576,0.999973138,0.884264226,0.995138009,0.995133303,0.881877598,0.881877598,0.995170659,0.059075502,0.999962839,0.608957078,0.999973138,0.999575086,0.99959853,0.995395646,0.999575198,0.021072901,0.021072901,0.892516392,0.15
2719,Marsh & McLennan Companies Inc,United States,MMC,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.895,MARSH & MCLENNAN COS," Insurance and pension funding, except compulsory social security (66) ",0.879796714,0.995196858,0.999976629,0.884306348,0.995192324,0.995187665,0.881918976,0.881918976,0.995225612,0.059036907,0.999967674,0.608957277,0.999976629,0.999631063,0.999660295,0.995448613,0.999630699,0.021023049,0.021023049,0.892557924,0.14
2720,Marsh & McLennan Companies Inc,United States,MMC,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.895,MARSH & MCLENNAN COS," Insurance and pension funding, except compulsory social security (66) ",0.879811028,0.995203709,0.999973931,0.884321772,0.995199179,0.995194531,0.881934211,0.881934211,0.995231561,0.059066733,0.999963882,0.608957351,0.999973931,0.999587808,0.999613971,0.995453873,0.999588006,0.02106171,0.02106171,0.892573306,0.16
2721,Marsh & McLennan Companies Inc,United States,MMC,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.895,MARSH & MCLENNAN COS," Insurance and pension funding, except compulsory social security (66) ",0.879713405,0.995104632,0.999976505,0.884216019,0.995099976,0.995095227,0.88183009,0.88183009,0.995134006,0.059038294,0.999967484,0.608956848,0.999976505,0.999628519,0.999660295,0.995361181,0.999628565,0.021024914,0.021024914,0.892468708,0.13
2722,Martin Marietta Materials Inc,United States,HY,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.509,CMC MATERIALS INC,Manufacture of electrical machinery and apparatus n.e.c. (31),0.880245291,0.995771296,0.999752314,0.884810336,0.995770864,0.995766844,0.882412808,0.882412808,0.995805638,0.05878419,0.995500991,0.608951658,0.999752314,0.999933846,0.9997375,0.996002413,0.999933825,0.020735296,0.020735296,0.893055279,0.24
2723,Martin Marietta Materials Inc,United States,HY,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.509,CMC MATERIALS INC,Manufacture of electrical machinery and apparatus n.e.c. (31),0.880243938,0.995771296,0.999789789,0.884808116,0.995770281,0.995766243,0.882410873,0.882410873,0.995805207,0.058783306,0.996181639,0.608951275,0.999789789,0.999944023,0.999768383,0.996002231,0.999942363,0.020728344,0.020728344,0.893053228,0.21
2724,Masco Corp,United States,MAS,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.252,MASCO CORP,Construction (45),0.880079589,0.995680651,0.999997689,0.884707704,0.995681962,0.995678717,0.882298809,0.882298809,0.995719637,0.058720901,0.999993175,0.608882213,0.999997689,0.999994911,0.999984559,0.995921692,0.999995731,0.020692057,0.020692057,0.89295427,0.05
2725,Masco Corp,United States,MAS,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.252,MASCO CORP,Construction (45),0.880106885,0.995662205,0.999997889,0.884689216,0.995662761,0.995659415,0.882281868,0.882281868,0.995700499,0.058725815,0.999993838,0.608924161,0.999997889,0.999994911,0.999984559,0.995903552,0.999995731,0.020691718,0.020691718,0.892935811,0.06
